Sentence,Sentiment
tesco sell blinkbox and broadband servic to talktalk,positive
in the first half of the bank s oper profit fell to eur mn from eur mn while net interest incom increas to eur mn from eur mn in the first half of,negative
citi spirit sink after diageo come up short with sale slide,negative
vacon s cash flow from oper grew to eur mn from eur mn a year ago,positive
in addit the exist servic counter area in the recept hall will be rebuilt and access provid to local rail connect,neutral
appl inc the rip-roar ralli is just beginning! aapl investorplac aapl,positive
last month outokumpu sold more than percent of it technolog unit outokumpu technolog oyj to further it strateg goal of becom the world s largest stainless steel maker,positive
the transact would increas earn per share in the first quarter by some eur,positive
the group s cash flow from oper will be posit,positive
the eu commiss said earlier it had fine thyssenkrupp unit technolog corp s oti schindler ag and kone oyj a total of mln eur for alleg cartel activ in the lift market go back twelv year,neutral
scopi chief busi excel offic eng,neutral
in the meantim the ceo s duti will be assum by outotec s deputi ceo seppo rantakari,neutral
the first quarter was as expect and was in line with analyst forecast,neutral
last year sysopen digia invest in ibm product know-how in the build of portal and trade place system and success implement custom solut support by it,positive
finnish electron manufactur servic em compani elcoteq se post a net loss of mln euro mln for the first half of compar to a net profit of mln euro mln for the same period of,neutral
- net sale for the period are expect to fall well below that of last year and the result after non-recur item is expect to be in the red,negative
dealer said the share was larg hit by investor disappoint about a refin margin of just usd per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln eur from mln eur a year amid a fall in volum and tanker rate,negative
us sanction put gazprom-shel allianc plan in jeopardi,negative
among the biggest christma seller were a satin bow shift dress style on outfit worn by victoria beckham and a pari hilton prom dress,neutral
new chairman of the board of director mr chaim katzman will give a present and answer question,neutral
the recruit who have complet the k-retail traine program are qualifi to start a career as independ retail in k-store,neutral
updat -bp settl oil spill-rel claim with halliburton transocean,negative
the compani s net sale in total meur with an oper margin of per cent,neutral
aktia forecast finland s inflat at in,neutral
stx move off the bottom but still in bear market datasecur emc sndk wdc,negative
the compani is now intensifi it smelter oper and increas it annual product capac to tonn of copper,positive
oil slid to a four-year low after opec kept it oil product unchang uso wti brent,negative
the stock was hit by the profit warn of finnish rival rautaruukki oyj omx rtrks,negative
the pilot project prove that rifd technolog is ideal for our purpos comment olli saarinen materi handl supervisor at yara,positive
growth was strongest in f-secur s oper isp mobil oper and cabl oper busi,positive
the reduct will be conclud by autumn,neutral
also a six-year histor analysi is provid for this market,neutral
antniemi refut a report by the finnish daili turun sanomat as if the compani was reorgan it oper in the baltic countri,neutral
one of the largest project of the magazin divis of sanomawsoy - sanoma magazin intern in becam launch of the russian magazin gloriya,neutral
tsla you have to love these type of articl ss interest rose on on day befor we hit our low,negative
asian traffic declin by per cent,negative
the workforc will be reduc also in the amsterdam offic in the netherland,negative
dlerch lol! fmcn back under darn those shorts! no chit sherlock!,negative
the net sale of the whole fiscal year will be lower than in and oper profit is estim to be negat,negative
the option might includ a partial or total divest of their sharehold in ovako,neutral
of cours you ll have direct access to nokia s ovi store so you ll have lot of fun download your favorit media,neutral
tsla recal model x vehicl share volatil tsla tech stockmarket,negative
octob - finnish wood product technolog supplier raut oyj hel rutav said today it swung to a net profit of eurm for the first nine month of versus a net loss of eur m for the same period a year earlier,positive
oper profit befor non-recur item was eur mn in the first nine month of compar to eur in the correspond period in,neutral
stockholm march about cybercom the cybercom group is a high-tech consult that offer global sourc for end-to-end solut,neutral
appl break major support here are some level to watch - aapl qqq,negative
oper profit for the three-month period increas from eur m while revenu increas from eur m as compar to the correspond period in,positive
the announc invest of the carmak hyundai for exampl sound optimist for us as of cours new car mean new tire,positive
bobe down premarket,negative
speak to just-drink today a spokesperson for olvi said we have perform veri well in all four countri we oper in - name finland estonia latvia and lithuania,positive
altogeth capman employ approxim peopl in helsinki stockholm copenhagen oslo moscow and luxembourg,neutral
efut hod post buy pm at,positive
our research show that access to inform technolog has been one of the limit factor for most small busi especi when they work in a heterogen network base environ,neutral
the compani has decid to stop the oper of ruukki construct divis in latvia and lithuania and concentr the product and logist in parnu estonia in,neutral
oper cash flow after invest total eur mn compar to eur mn in the correspond period in,negative
peer peugeot fell pct as it sale rose onli pct from the same period last year,negative
nordea see a return to posit growth for the baltic countri in,positive
most of the increas in net sale was due to the acquisit of swedish silva that produc garden tool and boat,positive
astrazeneca sell caprelsa right to sanofi unit,positive
finnish bank alandsbanken said monday it will buy the swedish oper of iceland s troubl kaupth bank for million kronor million in cash,neutral
the sale of the tiimari segment fell by year-on-year to eur m in june,negative
berkshir disclos unit tie to iran open probe,negative
kiosk and cinema oper have suffer in particular,negative
with five differ game mode co-op tournament player split-screen and multiplay mode player can have as much fun as they would if they were actual fish,neutral
tieto in latvia is repres by it servic compani tietoen alis and tietoen which has oper in the industri of financi servic card retail and logist and it outsourc and manag servic,neutral
there did not seem to be enough hour in a day for pekkarinen,neutral
aldata solut a global compani engag in supplier to consum busi process optim has announc the detail of it dollar for dinosaur program,neutral
the employe negoti are to address measur need to adjust the oper to the present product situat,neutral
at this growth rate pay off the nation debt will be extrem pain,neutral
expect spi to close abov aapl,positive
self-servic and autom are in a bigger role now and fujitsu s global resourc will be exploit effect,positive
finnish manag softwar solut provid ixono oyj net profit decreas to euro for the first quarter of from euro mln for the same period of,negative
the organ that is a member of the russian auto sector union mpra has becom activ sinc tikkurila acquir russian paint compani kraski tek in,neutral
tsla recal model x vehicl share volatil tsla tech stockmarket,negative
facebook near a buy point last week face a differ technic test today fb aapl nflx,positive
swedish finnish and danish list compani are organ in three market cap segment nordic larg cap mid cap and small cap,neutral
the invest would be some eurm,neutral
ndx compon tesla has announc it is recal model x suv tsla,negative
finnish retail stockmann has won approv from the board of swedish rival lindex for a public tender offer with the aim of expand the compani presenc in russia and other cee countri stockmann said monday,positive
kone share drop percent to xac us in helsinki,neutral
finnish-swedish tietoen is expand it busi quick in russia,positive
the omx helsinki index was pct lower at while the omx helsinki cap portfolio index was down pct at,negative
howev the broker rate on the stock differ,neutral
tesco plcs recoveri continu with a â£m cash infus,positive
the econom develop and trade ministri and industri and energi ministri along with the kostroma region administr and the russian lumberman and timber export union has been carri out work to acquir invest for the construct of a pulp and paper mill in neya sinc,neutral
octob - finnish paint and coat compani tikkurila oyj hel tikv announc today the launch of tikkurila prohous method for protect of wooden surfac via treatment with ultra pro waterborn product,neutral
finnish pharmaceut compani orion s net sale rose to eur mn in the first quarter of from eur mn in the first quarter of,positive
consum have veri well receiv our pack fresh meat,positive
as a result of the merger the largest profession electron and telecommun technolog contract manufactur center in finland will be form in sievi,neutral
paper compani m-real calcul that if biscuit carton are made use a gsm lighter board the co save over the cours of month would be equal to that generat by drive km by car,neutral
reed elsevi share price slide on underwhelm full-year result,negative
by cut the number of plant the group will trim fix cost,positive
compar oper profit total eur mn up from eur mn in,positive
the valu of the order is about eur mn,neutral
the swedish player becam major owner of ucel in mid-,neutral
the finnish compani is build a mt-year biodiesel plant in singapor,neutral
rt andrewnyquist chartolog yahoo yhoo crazi look chart but near breakout resist line,positive
the compani expect it net sale for the whole of to be eur mn- mn,neutral
the oper loss amount to eur mn compar to a profit of eur mn a year earlier,negative
sale at the unit slump last year after the industri was hit by poor snowfal in the major resort in the winter of -,neutral
februari - finnish broadband data communic system provid telest oyj hel tltv said wednesday it net profit rocket to eur m in from eur in and it lift it dividend propos,positive
gevo plunging! back to,negative
earn per share ep are seen at eur up from eur,positive
the number of bodili injuri case quadrupl in -,negative
sp downgrad barclay and rbs on govern bailout fear,negative
dure the strike finnair estim to incur a net loss of between eurm and eur m per day,negative
the copi republ or redistribut of afx news content includ by frame or similar mean is expressli prohibit without the prior written consent of afx news,neutral
mr mcdonald start the even with his own set featur hit from his solo career and his doobi brother year and a select of rb cover song that met with mix result,neutral
in the build and home improv trade net sale total eur mn down from eur mn a year earlier,negative
outotec headquart in espoo finland is a lead provid of process solut technolog and servic for the mine and metallurg industri,neutral
the total headcount reduct will be person the compani said,negative
the estim turnov of the new compani is lvl million eek million,neutral
finnish media compani talentum oyj s net profit decreas to mln euro mln for the first quarter of from mln euro mln for the same period of,neutral
tsla bad day to short,positive
mako hang in well today still in a base pattern have eye on it,positive
academ claim googl android two-factor authent is breakabl secur authent hack goog,negative
this bbbi stock option trade would have more than doubl your money via thestreet,positive
the compani s previous estim was for a lower revenu than the year-ago eur million,negative
the connect unit has more than e-invoic custom and the number of annual transact stand at near one million,neutral
hsc receiv -year m contract at new saudi arabian steel mill,positive
qcor a littl pullback is fine but if this eras all of today gain i cannot believ the manipul it capabl of,negative
sanoma magazin intern will invit other sharehold hold approxim of the share to sell their share,neutral
finnish vaahto group that provid paper-mak technolog and process machineri is start negoti concern the temporari lay-off of all employe at the compani s plant in hollola and tamper in finland,negative
finnish softwar develop done solut oyj said it net profit increas to mln euro mln in from mln euro mln in,positive
london stock exchang seal â£ billion merger with germani deutsch bã¶rse,positive
adpnew - sep - finnish silicon wafer maker okmet oyj hel okmv said it will reduc the number of it cleric worker by worldwid as a result of personnel negoti complet today,negative
profit for the period increas from eur mn to eur mn,positive
in decemb alon the member of the lithuanian brewer associ sold a total of million liter of beer an increas of percent from the sale of million liter in decemb,positive
cramo is a servic compani specialis in construct machineri and equip rental and rental-rel servic as well as the rental and sale of modular space,neutral
the ea reng group post sale of approxim million kroon for,neutral
our custom has been satisfi with baswar invoic autom solut and extend the implement to new geographi,positive
m-real corpor stock exchang releas august at pm m-real has receiv the eur million cash payment from sappi m-real corpor a part of metsñliitto group divest it graphic paper busi to sappi limit at the end of for eur million,neutral
intercontinent hotel group share price climb on bn special dividend,positive
kep break out when the market pull back,positive
self-servic and autom are in a bigger role now and fujitsu s global resourc will be exploit effect,positive
po ferri now has a veri effici and power vessel for it dover to calai rout head of the shipbuild s rauma yard timo suistio said,positive
finnish kci konecran has been award an order for four hot metal ladl crane by indian steel produc bhushan steel strip to be deliv in,positive
- profit befor tax was eur million,neutral
technopoli has approxim custom compani in jyvaskyla,neutral
finnish sport equip compani amer sport said it has decid to lay off worker from it salomon divis in franc,negative
with the acquisit the compani will expand it offer to north central and south america it said,positive
the fair valu of the compani s invest properti went down to eur billion at the end of from eur billion a year earlier,negative
as report june both circuit continu to altern report the track as vacant and then occupi almost constant from june when part of the track signal devic was replac to the time of the crash accord to the metro sourc,neutral
the eur million non-recur expens have been record for the third quarter,neutral
adpnew - aug - finnish media group ilkka-yhtyma oyj hel ilk said today it net profit fell on the year to eur million usd m in the first half of,negative
by separ side busi we will be abl to faster expand and develop tapro retail network,positive
-star analyst brianwies from pivot research upgrad rate on googl to buy brian has a success rate,positive
marathon now has a percent stake in plx it said accord to bloomberg,neutral
vxx start to creep up while spi sit near hod,positive
ahlstrom headquart in helsinki finland is a global compani involv in the develop manufactur and market of high perform fibre-bas materi,neutral
found in fiskar has over year of product qualiti excel and is finland s oldest compani,neutral
finnish financi softwar solut develop baswar oyj said it net profit fell to euro mln for the first quarter of from mln euro mln a year earlier,negative
aapl is now beaten down hate etc hhhmm opposit of what happen next,negative
we are delight to welcom elisa to our board of director said garri mcguir ceo of rmg network,positive
junip tumbl on q warn cisco also lower jnpr csco,negative
hearst will be abl to consolid about of all russian market for advertis in press after the purchas,positive
dilut earn per share ep rose to eur from eur,positive
oper profit for the quarter april-jun amount to eur m on net sale of eur m,neutral
finnish it solut provid affecto oyj hel afev said today it slip to a net loss of eur usd in the second quarter of from a profit of eur in the correspond period a year earlier,negative
valeant ceo pledg to heed critic after pain experi,negative
oper result for the -month period decreas from the profit of eur m while turnov decreas from eur m as compar to,negative
an audio webcast will be avail live and archiv on cerner s web site at,neutral
oper loss total eur mn compar to a loss of eur mn in the correspond period in -,neutral
p bull flag on the daili earn on the tabl tomorrow - movewil straddl this one into earningslot of vol guarante here,positive
today we are connect peopl in new and differ way - fuse advanc mobil technolog with person servic to enabl peopl to stay close to what matter to them,neutral
galeria podlaska a shop mall on wysockiego street in bia ystok is approxim -percent leas or reserv,neutral
royal mail johnson matthey lead ftse lower,negative
ingeni hsbc ub and coutt su by tax avoid client,negative
oper profit in the fourth quarter went down to eurm from eur m for the correspond period of as it includ cost of growth project,negative
standard charter share plung after fitch downgrad,negative
finnish forest industri group stora enso oyj issu on thursday march a profit warn for the first quarter,negative
astrazeneca suffer setback after drug fail to treat eye cancer,negative
temporari lay-off affect the entir workforc will also be implement,negative
the compani said that it invest in the new market area result in sale increas in sweden poland russia and lithuania,positive
cat is hangin on my a thread click away from a cliff drop need follow through or snap-back on the vix,negative
rost nov call go long until exp imo ! unless european keep fing around !,positive
exel composit long-term growth prospect remain favour howev,positive
the expand agreement cover the sale market and distribut of benefon s navig and locat devic in china,neutral
and that s exact what happen on a recent weekday when an east haven baker was brought in to remind resid about the easter tradit of make wheat and rice pie,neutral
elcoteq has a proven track record in electron manufactur servic em and a global factori network coupl with modern manufactur equip and consist system and process,positive
tzoo a close abov and we are readi to rock and roll,positive
amazon has been sell surveil camera infect with malwar amzn amazon,negative
the stock rose for a second day on wednesday bring it two-day rise to gbx or,positive
russian offici inspect the damag and gave the vessel permiss to continu to tallinn at around am the norwegian-regist m-t sten nordic was carri ton of gas oil and was man by a filipino crew,neutral
the order includ a log handl line peel line and dri line for the product of parquet base layer veneer for plyfa s hassela mill central sweden,neutral
look like a big feb - put spread on cree last quarter yoy rev growth trade x earn i may tri a short,negative
the govern has had a veri profession approach in assess the offer,positive
it also turn in earn per share ep of eur versus loss per share of eur,positive
user on vetr are bearish on tesla motor inc indic a sell rate star for tsla,negative
the current refer grade instrument are challeng to oper due to their high price and complex for routin use,negative
sale at the tiimari busi went down by to eur million while gallerix store saw growth to eur million,negative
centrica extend gas deal with gazprom statoil,positive
the amend will not incur addit cost,neutral
the govern has had a veri profession approach in assess the offer,positive
latvia s stockmann shop mall is a subsidiari of finland s stockmann plc,neutral
the percentag of share and vote right have been calcul in proport to the total number of share regist with the trade regist and the total number of vote right relat to them,neutral
in the end of the number of outlet will rise to -,positive
aapl short some,negative
long gpro for a brealout trade,positive
accord to mark white locatrix communic ceo the compani s web servic interfac allow devic owner friend and famili to track and locat twig user via ani web browser,neutral
a total eur m will be provid as secur senior three-year debt from the syndic involv pohjola bank hel poh the finnish arm of nordea bank ab sto nda and sampo bank hel sama,neutral
shire share price under pressur after bn baxalta deal,negative
the market share of volkswagen passeng car in finland was percent audi had a market share of percent and seat s share was percent,neutral
mr kari stadigh will carri on as chairman of the board and mr matti arteva as vice-chairman,neutral
stole my tweet realli wouldnt be surpris if we took out and pin around it rt totalguru we could possibl even see today aapl,positive
the maximum oblig total trade per day is isk market valu,neutral
talktalk hire bae system to investig cyber attack,negative
with this agreement we can continu our good cooperationand at the same time releas capit that has been tie up in ourmachineri oper,positive
one attract factor about the tablet for media compani is that they provid a new way of make money,positive
tesco share price jump as q sale top estim,positive
new delhi juli -- sahlberg teppo kallio timo and mustonen tuoma of m real oyj espoo finland have develop novel mark and method of produc the same,neutral
i-grid show dia cap for the long term at rang of - ani ralli beyond today level or into this rang lead to meltdown,negative
pierrul siri long!!,positive
esi on low down to bk a real possibl,negative
peer peugeot fell pct as it sale rose onli pct from the same period last year,negative
gale breakout come soon!,positive
sbux downgrad to neutral at deutsch bank price target reduc to from,negative
also cba is to issu a benchmark year fix rate deal in euro,neutral
rapala fish frenzi,neutral
homebuild - ryl break below support watch this one spi,negative
finnish scanfil a system supplier and contract manufactur to the communic sector and the electron industri report it net sale total eur mn in the first half of down from eur mn in the first half of,negative
updat -berkshir appli to boost well fargo stake abov pct,positive
in january-septemb oper profit total eur mn,neutral
academ claim googl android two-factor authent is breakabl secur authent hack goog,negative
severn trent share price jump as canadian investor renew pursuit of util,positive
sale in finland decreas by and intern sale decreas by in term of euro and by in term of local currenc,negative
a memorandum of understand on cooper between the finnish global chemic compani kemira and vietnam nation chemic group vinachem was sign on this occas,positive
ftse fall to -month low on greek debt concern easyjet skid,negative
bbri nice bounc,positive
net sale drop by year-on-year to eur million,negative
the lower of price by us and by our competitor show that the real estat market has stabilis and return into balanc and apart are acquir a fair price in the eye of our client,positive
share of nokia corp rose thursday after the cell phone maker said it third-quart earn almost doubl and it share of the global handset market increas,positive
randgold profit hit by poor gold price but dividend still increas,neutral
finnish pharmaceut compani orion s net sale rose to eur mn in the first quarter of from eur mn in the first quarter of,positive
pge belchatow run the gw belchatow coal-fir power plant and fortum has intent to start a ccs demonstr project joint with teollisuuden voima oyj tvo - anoth finnish util - at the their joint own mw meri-pori coal-fir facil,neutral
profit befor tax amount to eur mn down from eur mn a year ago,negative
more than a third of the origin particip drop out due to nausea and other side effect,negative
in the build and home improv trade sale decreas by to eur mn,negative
pretax loss total eur mn compar to a loss of eur mn in the correspond period,negative
the first stage of the contract cover store and cash regist,neutral
small firm are suffer at the moment becaus they are like to have money troubl he ad,negative
pretax profit total eur mn compar to eur mn in the first quarter of,negative
if honkarakenn start product there it will need a partner for sawmil oper,neutral
in june it sold a percent stake to nordstjernan and the invest group has now taken up the option to acquir eqt s remain share,neutral
both oper profit and net sale for the three-month period increas respect from eur m and eur m as compar to the correspond period in,positive
in the report period ep stood at eur versus eur,neutral
finnish laboratori liquid handl and diagnost test system develop biohit oyj omx helsinki biobv issu on tuesday june a profit warn for the financi year,negative
sever growth initi in the chosen geograph area are alreadi ongo it continu note lindex open it first store in the czech republ this autumn in brno,positive
all right reserv,neutral
karachi sept -- ixono a world leader in the develop and integr of solut for handheld devic announc that it is implement a touch screen mobil user interfac solut for the intel atom processor zxx base smartphon,neutral
oriola-kd is a spin-off of finnish pharmaceut group orion oyj s wholesal divis,neutral
alexandria va may -- matti harkonen and pentti sipponen both of espoo finland osmo suovaniemi of helsinki finland and tapani tiusanen of vantaa finland have develop a paper web press devic,neutral
biohit said that it will reduc the number of leas personnel by and lay off of it own personnel,negative
the negoti has result in the reduct of peopl in regular employ around half of which will be cover with pension arrang,negative
oper margin howev slip to from drag down by a poor perform in enterpris solut,negative
in the bank post a net profit of lt mn,neutral
the devic offer multimedia perform along with a host of product applic includ live stock price,neutral
aapl i am big out from this seem it fall toward,negative
the divest of raisio s margarin busi in may gave the compani a clearer focus on grain-bas product,positive
profit ebit was compar to in q,negative
it make a wide rang of mobil devic with servic and softwar that enabl peopl to experi music navig video televis imag game and busi mobil,neutral
compar oper profit decreas to eur mn from eur mn in the correspond period in,neutral
tesla motor recal model x suv tsla,negative
as a result of these negoti the compani has decid to make peopl redund on financi and product ground,negative
nihd insid got this one wrong look for bottom rsi under,negative
sabmil buy meantim to quench thirst for craft beer,positive
load up on bsx yesterdaylook good now still think way more upsid than downsid,positive
okmet s product are base on high-tech expertis that generat ad valu for custom innov product develop and an extrem effici product process,positive
consolid net sale increas to reach eur m while oper profit amount to eur m compar to a loss of eur m in the prior year period,positive
accord to vauramo the plant s lift equip is suitabl for asian and for some chines truck,neutral
reed elsevi share price slide on underwhelm full-year result,negative
this is the first time finnair has been award an agreement with the uk govern,positive
the divest compani is part of tietoen s busi area govern manufactur retail,neutral
solidium pick up tikkurila share as a dividend at a book valu of eur per share,neutral
ibm stay strong,positive
potenti defect with third-row seat belt tesla motor recal model x suv tsla,negative
sale of mid-strength beer decreas by,negative
intern sale rose by to eur mn,positive
it will report full-year result on august,neutral
the total servic concept also includ technolog servic with which raut support it custom throughout the entir life cycl of their invest,neutral
intercontinent hotel first-quart global room revenu lag estim,negative
milan afx - the italian ship group grimaldi has increas it stake in the finnish compani finnlin to pct from the pct held in june accord to news agenc ansa,neutral
in accord with the term and condit of alma media s option program the share subscript price for the a option right was eur per share and the book countervalu eur per share,neutral
pretax profit total eur mn compar to a loss of eur mn in the fourth quarter of,positive
lnkd daili phase retest - price experienc earli reject can it retest,negative
besid pit-produkt will enter the new segment,neutral
amanda capit has invest in privat equiti fund and in over unquot compani main in europ,neutral
the invest would be some eurm,neutral
finnish silicon wafer technolog compani okmet oyj omx helsinki okmv report on thursday octob an oper profit of eur m for january-septemb up from eur m in the correspond period in,positive
linkedin revenu up near lnkd,positive
as a result the russia s import restrict on finnish dairi compani will be cancel on august,positive
sale in local currenc decreas by percent while the number of subscrib rose by million to a total of million at the end of fourth quarter the compani said,neutral
in addit to the demand in finland the export of line stone product also increas,positive
fb i guess they want it down look at the those sell order,negative
investor remain skeptic about shell-bg deal,negative
at am huhtamaki was the market s biggest faller pct lower at eur while the omx helsinki was pct higher at and the omx helsinki was up pct at,neutral
here come the short marchin in gmcr lovin it!,negative
adpnew - aug - finnish media group ilkka-yhtyma oyj hel ilk said today it net profit fell on the year to eur million usd m in the first half of,neutral
dnn pick some up like this go into,positive
the truck featur an eco drive system - a fuel measur tool which store data particular to individu driver,neutral
product level have been agre with produc a long time ago so a fall in consumpt will lead to loss,negative
the dismiss staff member will now take the matter to court unless it can be settl outsid,neutral
wac trade continu veri nice from yesterday almost up from yesterday entri deal price tonight look veri strong here spi,positive
easyjet attract more passeng in june but still lag ryanair,positive
finnish suominen corpor that make wipe nonwoven and flexibl packag expect chang in the market situat to reduc sale of suominen s nonwoven and wet wipe from the previous estim volum,negative
ntc has a geograph presenc that complement ramir s exist network and bring us closer to our custom in the east bohemia region in the czechrepubl,positive
a total of stock option were issu in the stock option scheme,neutral
the financi statement and interim report will be releas around at am finnish time on the given date,neutral
the move will be carri out by transfer hkscan s production-rel properti plant equip as well as it hold in subsidiari and associ compani in the countri to hkscan finland,neutral
cost save will then rise to some mln eur a year from oko said,positive
cencorp headquart in virkkala finland develop and suppli autom solut to the electron and semiconductor industri that enhanc product,neutral
sanoma news advertis sale decreas by dure the year,neutral
custom wave card in front of the reader to make payment similar to touch and go card use in transport system,neutral
this is a signific mileston for benefon help us to secur critic usp s for our person navig product roadmap for and beyond comment simon button chief technolog offic at benefon,positive
adp news - oct - finnish consult and engin compani poyri oyj omx poyv said today it was award a eur million usd m extens to their exist consult engin contract with venezuel,positive
capman said the deal s effect on it cash flow for total eur m but the transact would not affect it financi result for as it was execut at fair valu,neutral
isr- isoray up and high on volum biotech,positive
merg lse and deutsch bã¶rse would be led by germani kenget,positive
sanoma news advertis sale decreas by dure the year,negative
lnkd daili phase retest - price experienc earli reject can it retest,negative
the object is that trade in the share will commenc on may,neutral
eurochem cfo andrey ilyin said this facil mark anoth import step for eurochem in secur the long-term financ necessari for our potash and other strateg project,positive
siga bid for reargument deni by judg,negative
key price to watch in nflx off the previous doubl top reject,negative
citi user can search for home and properti in all area where citi is activ even outsid their own countri,neutral
kep break out when the market pull back,positive
the prosecutor is also demand outokumpu pay a fine of eur at most,neutral
rt stockdemon think short here into close might be play spi - high beta reversinglook worth a shot,negative
kndi break that hod on volum and we have a nice consolid complet for anoth run,positive
the costanza light with an aluminum base and washabl shade come in white pistachio orang blue and red,neutral
finnlin has six ship under construct in china with deliveri schedul between the first quarter of and the final quarter of,neutral
nordea pankki suomi oyj accord to previous announc has made forward contract on alma media corpor share,neutral
stuk today is a full servic hous expert in radiat and nuclear safeti issu,neutral
earn per share ep amount to eur down from eur,negative
the compani s net sale in total meur with an oper margin of per cent,neutral
as defenc matur attack develop trojan that are equip with content filter to detect onlin bank activ for captur account detail use method such as form grab screen shot video captur keylog and inject of form field,neutral
after the report period bioti north american licens partner somaxon pharmaceut announc posit result with nalmefen in a pilot phase clinic trial for smoke cessat,positive
aspo plc stock exchang announc may at am an increas in the share capit of aspo plc total eur was regist today,positive
smh got a sell signal on and need to take out to go higher otherwis head lower than gap below at,negative
kaleva kustannus oy busi id - has accord to it notic on august acquir alma media share,neutral
finnish vaahto group that provid paper-mak technolog and process machineri is start negoti concern the temporari lay-off of all employe at the compani s plant in hollola and tamper in finland,negative
the impact on tietoen s net sale for from the purchas is expect to be some mln euro mln,neutral
pretax profit rose to eur mn from eur in the correspond period in,positive
