,Sentence,Sentiment
74,us sanction put gazprom-shel allianc plan in jeopardi,negative
75,profit for the period was eur mn down from eur mn in,neutral
76,profit for the period was eur mn up from eur mn,positive
77,oper profit fell to eur mn from eur mn in the second quarter of,neutral
78,howev sale return to growth in april-jun ceo pekka eloholma said,positive
79,oper profit total eur mn or of net sale,neutral
80,chang in the market situat and tougher price competit have substanti reduc demand for bread packag manufactur at the kauhava plant accord to the compani,negative
81,in connect with the deal digia will employ person from nokia in oslo and in silicon valley in the usa,neutral
82,the brazilian unit of finnish secur solut provid f-secur sign up new client last year onlin news sourc resel web quot the divis s commerci director vladimir brandúo as say,positive
83,the fair valu of the compani s invest properti went down to eur billion at the end of from eur billion a year earlier,neutral
84,dealer said the share was larg hit by investor disappoint about a refin margin of just usd per barrel for the quarter and the perform of it ship unit which saw ebit drop to mln eur from mln eur a year amid a fall in volum and tanker rate,negative
85,it is a testament to the qualiti of our lte solut and our commit to the japanes market he ad,neutral
86,the compani aim is to final the negoti and sign the contract at the start of octob,neutral
87,metso foundri jyvaskyla oy will discontinu product on this line by septemb the compani said,neutral
88,a total six of the poll analyst rate m-real -- two gave buy - accumul three gave hold and onli one gave sell,neutral
89,in septemb the finnish group agre to buy danish compani rose poultri a- for up to eur m in a combin of cash and stock,positive
90,yang doubl bottom,positive
91,tesco share price down as grocer face sfo investig outcom,negative
92,aapl news is becom veri bullish again,positive
93,gs engin will instal the valv at a liquefi natur gas lng plant it has built for uae lng extract and gas plant oper gasco in ruwai uae,neutral
94,the percentag of share and vote right have been calcul in proport to the total number of share regist with the trade regist and the total number of vote right relat to them,neutral
95,m-real said there are no ground for the rumor which have been circul in the market for some month,neutral
96,lember said the matter was topic also in estonia where a bill has been draft at the social affair ministri that would scrap old-ag pension on favor condit,neutral
97,- moodi s said it gave p a long-term senior unsecur and p p- short-term debt rate to finnish lender aktia bank s eurbn usd bn euro medium-term note emtn program of march,neutral
98,tsla recal,negative
99,the liquid provid was interrupt on may when aspocomp group oyj s share trade below cent aspocomp s stock exchang releas,neutral
100,hargreav lansdown buck weak market to see asset rise percent,positive
101,at pm the omx helsinki index was pct lower at,negative
102,the decis mean temporari lay-off of fix durat at the compani s nastola and jyvaskyla unit in southern and central finland respect,neutral
103,the valu of the order is over eur mn,neutral
104,ms laakso will be respons for hkscan s hr function and for their develop in all of the group smarket area,neutral
105,fiskar is also engag in the global suppli of marin and energi equip solut and servic through it associ compani wartsila corpor,neutral
106,aberdeen asset manag gain foothold in china,positive
107,finland s domin rail compani vr is plan to set the infect passeng for long-dist trip in a separ carriag,neutral
108,in novemb the finnish govern decreas it ownership in the compani further to percent from percent,neutral
109,finnish exel composit a technolog compani that design manufactur and market composit profil and tube for various industri applic report it net sale decreas by in the second quarter of to eur mn from eur mn in the correspond period in,neutral
110,of bavelloni s and nst s joint ventur bavelloni tool complet semiproduct that are produc in itali into high-qual tool that will be sold under the diapol brand,neutral
111,the tool is a patent pend design that allow consum to lay out their entir project on a remov plate use multipl clear stamp of ani kind,neutral
112,googl is a short below into the upper bb and is overbought,negative
113,light out befor curfew curl up with the latest bestsel and treat your eye to the perfect read light from luceplan,neutral
114,upm-kymmen corp the world s largest maker of magazin paper on tuesday report a -percent profit drop as lower paper price higher cost and a strong euro hurt revenu,negative
115,the total valu of the contract is some eur million,neutral
116,the prerequisit for inclus in the program and for receipt of ani gain is that key employe acquir aspo share to the amount determin by the board in advanc in the maximum,neutral
117,mr dore has been with eaton sinc and act as the busi unit manag for eaton s power control busi unit sinc januari,neutral
118,the sq m sq ft store in copenhagen s premier shop district was inaugur today further strengthen the compani s presenc in nordic capit,positive
119,in the financi statement for the first quarter of tikkurila is report under discontinu oper,neutral
120,the world s second largest stainless steel maker said net profit in the three-month period until dec surg to euro million us million or euro us per share from euro million or euro per share the previous year,positive
121,name of applic jot autom oynam of inventor mammila tuomo piirainen mika and kellokoski mikaappl no -kolnp- adat of file of applic --public date,neutral
122,netflix grow effort to creat loyal custom nflx,positive
123,the omx nordic omxn index compris the most trade nordic stock on the nasdaq omx exchang close down at point on thursday,negative
124,aapl nibbl on a small long via buy off min chart,positive
125,the oper margin of aker yard cruis ferri divis went down from to in the first quarter of,negative
126,tyc just about to break out to new high lot of technic look great right now,positive
127,eero katajavuori current group vice presid human resourc will take a year-long sabbat start from octob,neutral
128,what up with lulu number look good not great but good i think confer call will instil confid,neutral
129,the adjust measur will be carri out in phase to secur the deliveri capabl,neutral
130,alma media corpor press releas march tyrvaan sanomat and paikallissanomat be bought by suomen paikallissanomat two local paper tyrvaan sanomat and paikallissanomat appear in sastamala and it neighbour municip are to be bought by suomen paikallissanomat oy,neutral
131,temporari lay-off affect the entir workforc will also be implement,negative
132,a meet for the media and analyst will be held on the same day at am at stonesoft headquart in helsinki italahdenkatu a the interim report will be present by stonesoft s ceo ilkka hiidenheimo,neutral
133,finnish sampo-rosenlew manufactur approxim seven forest machin month and about half of machin are export,neutral
134,facebook near a buy point last week face a differ technic test today fb aapl nflx,positive
135,februari - finnish broadband data communic system provid telest oyj hel tltv said wednesday it net profit rocket to eur m in from eur in and it lift it dividend propos,positive
136,free ha heeeeeer come the pump! so glad i pick up k end of day! get readi for the bull ride!,positive
137,finnish technolog group aspocomp group oyj omx helsinki acgv issu it third quarter report on thursday novemb post an oper profit of eur m as compar to a loss of eur m in the third quarter of,positive
138,the build complex consist of high-qual offic and retail space total squar metr the compani said,neutral
139,finnish insur compani fennia and kesko group are end their loyal custom cooper,neutral
140,the unit is plan to be oper dure the second half of and in full stream in,neutral
141,itg s share in the deal is estim at some euro,neutral
142,the plant is expect to enter commerci oper by mid-,neutral
143,aspo has also investig the sale opportun of kaukomarkkinat s electron busi,neutral
144,bg group appoint new ceo one month earli,neutral
145,the acquisit will have an immedi posit impact on aspocomp s financi result,positive
146,finnair s passeng load factor which measur the number of sold seat as a share of all avail seat drop by percentag point to in septemb,negative
147,rt bman lng look prime also eght pois to run too,positive
148,it is also pct abov the -month volum weight averag price of the stock,positive
149,coke dividend - googl dividend - for passiv incom coke take it goog ko,neutral
150,profit befor tax was eur mn up from eur mn a year earlier,positive
151,the subsidiari is set up a facil for manufactur high-dens interconnect print circuit board or pcbs at nokia s special econom zone at sriperumbudur near chennai,neutral
152,crm sep call are sinc entri bang,positive
153,in january-jun dilut loss per share stood at eur versus eur in the first half of,negative
154,rapala said it estim it will make save of - mln eur a year by centralis it french oper at one site,positive
155,vmw got a nice push today follow small sweeper of may c this morn,positive
156,that top consensus forecast for earn of euro a share,positive
157,rd loan,neutral
158,in futur the compani intend to look for know-how from outsid the compani and to cooper with other actor in the sector,positive
159,you need to be readi when the window open up rosberg said,neutral
160,more than tonn of asphalt mix will be use in the contract,neutral
161,pa jpmorgan chase and co nyse jpm and pohjoa bank are joint lead-manag on the senior unsecur deal,neutral
162,ctrp break out here on good vol and a parser buy signal notic this on bob lang comment look for fast,positive
163,sale in finland decreas by in januari while sale outsid finland drop by,neutral
164,the pulp product in finnish kemijñrvi will also be liquid and about employe loos their job,negative
165,nordea was the cheapest also for a coupl in their s with debt,neutral
166,jussi pesonen member of the sampo board sinc will renounc his seat in sampo board,neutral
167,tesla is recal model x car tsla,negative
168,adjust for chang in the group structur the divis s net sale increas by,positive
169,make matter more difficult the compani said it has been grappl with higher oil and gas price which have push up the cost of energi raw materi and transport,neutral
170,the amend of the propos simplifi the propos plan and increas the incent for key employe to stay in the compani,positive
171,the solut will now be expand to includ all ground staff task,neutral
172,oper loss total eur mn compar to a profit of eur mn in the third quarter of,negative
173,on fedday look for a sharp move up in equiti aapl hd low fb see uvxi tvix get hammer even though market is down,positive
174,net sale total eur mn up from eur mn in the correspond period in,positive
175,as a consequ the work council had withdrawn it petit to suspend the reorganis,neutral
176,ceo erkki jñrvinen is happi with the compani s perform in,positive
177,compar net sale are expect to increas more than in in line with group target,positive
178,follow the transact lundbeck has worldwid right for nalmefen exclud north america mexico turkey and south-korea,positive
179,the govern start the sell-off last month put an percent stake in teliasonera on the auction bloc,neutral
180,the report goe on to provid detail profil of ten lead european specialti chemic compani and brief profil of other major player,neutral
181,both oper profit and net sale for the three-month period increas respect from eur m and eurm as compar to the correspond quarter in,positive
182,the compani expect it net sale for the whole to be at previous year level,neutral
183,the compani is headquart in sievi finland and is list on the nordic exchang in helsinki,neutral
184,commiss incom increas by to eur mn and lend volum rose by,positive
185,the finnish compani sold it uk oper - consist of staff in offic in london birmingham and manchest - as part of a deal with hampden in juli for it european-wid properti and casualti arm sampo industri,neutral
186,in the build and home improv trade sale decreas by to eur mn,negative
187,the innova build will be locat close to downtown in the immedi vicin of paviljonki and the travel center and within walk distanc from the heart of the citi thank to the trade fair bridg,neutral
188,finnish textil and cloth group marimekko oyj post a net profit of mln euro mln for compar to mln euro mln for,neutral
189,the main strength of the cooper project lie in merg the know-how of two larg compani,positive
190,sharehold have a right to put on the agenda of the agm item that are within the compet of the general meet,neutral
191,kazgiprotsvetmet and outotec finland have sign an agreement on strateg cooper in the market and provid of miner process and metallurg plant and relat servic in kazakhstan and the surround countri,positive
192,due to the rapid decreas in net sale personnel reduct have been carri out on a wider scale than initi expect,neutral
193,the govern has instead propos an exchang of the state s stake in lmt to teliasonera s stake in lattelecom,neutral
194,stora is due to releas it fourth-quart and full-year earn on feb,neutral
195,full-year oper result for was million negat,neutral
196,nq got hit hard lower this am -- look like it has found support a,negative
197,in avc systemhaus had net sale of eur million usd m,neutral
198,the compani has establish a g base station at about feet at the foot of mount everest that will enabl mountain climber at the -foot summit to surf the internet and even send video of their exploit,positive
199,we offer our custom solut base on renew raw materi,neutral
200,a survey conduct by taloustutkimus for sampo life show that compani are bad prepar to lose key staff member,neutral
201,antti orkola presid of kemira growhow s industri solut unit told thomson financi news the compani has put off open the mine as price of phosphat have been quit depress for a long time,neutral
202,the pretax profit of the group s life insur busi increas to eurm from eurm,positive
203,we make avail the follow brand-new market analys cement - pakistan cement - malaysia cement - taiwan cement - philippin these analys give a clear overview of the actual situat and futur outlook of the cement industri in some asian countri,neutral
204,the compani serv approxim custom in over countri,neutral
205,rt alphatrend vmarket are still act weak spi qqq xlf smh iwm,negative
206,oper profit total eur mn down from eur mn a year earlier,neutral
207,one of the instal elev will be a double-deck elev which enabl more effici use of the build s core space,positive
208,helsinki afx - outokumpu said it has agre to sell the hitura nickel mine in finland to canadian group belveder resourc ltd for mln eur worth of belveder share,neutral
209,just went long ilmn,positive
210,social network and location-bas servic trend compris a signific share of the internet traffic today and are appeal to mid user,neutral
211,a total of the order valu was book in the fourth quarter of and the remaind will be book in the second quarter of,neutral
212,johnson matthey share price slump as compani post full-year result,negative
213,there have not been previous share subscript with stock option,neutral
214,affectogenimap build high customis it solut for it custom in finland and the baltic countri,neutral
215,the close of the transact is schedul to take place on januari,neutral
216,howev the offer will probabl not be made at the current valuat which part deriv from the deal in which the compani was merg into a stock market shell,neutral
217,oper result for the -month period decreas from the profit of eur m while turnov decreas from eur m as compar to,neutral
218,the administr have indic a need for job cut at the irish insur over the next month,neutral
219,net sale in are expect to be on the same level as in,neutral
220,technic indic for the stock are bullish and sp give nok a posit star out of buy rank,positive
221,revenu for the quarter total billion down percent from billion in the fourth quarter in,negative
222,n-viro oper process facil independ as well as in partnership with municip,neutral
223,the number of bodili injuri case quadrupl in -,negative
224,accord to ringman finnish paper compani have acquir know-how and capac in paper recycl which has turn out to be a success strategi,positive
225,the compani also said that in poland a profit program has been launch at the oborniki steel frame and sandwich panel plant,positive
226,and us energi execut say high steel price are threaten energi explor,negative
227,tesco sale rise show tentat recoveri continu,positive
228,in finland the launch of tie-in sale of g mobil phone did not caus a dramat rush in mobil retail outlet dure the first few day,neutral
229,nuan held up well after the big gains! mayb were final on the move on this!!it still veri undervalu and has major upsid,positive
230,the compani can be split into two part over the come month with essent own and oper product and suppli and enexi own and oper the grid,neutral
231,offici did not disclos the contract valu,neutral
232,london s lead share today jump almost point or as the market open,positive
233,in the third quarter of fiscal efor swung to a net loss of eur versus a net profit of eur for the correspond period of fiscal,neutral
234,the group s oper loss was eur mn down from a profit of eur mn in,neutral
235,the move was trigger by weak demand for forestri equip and the uncertain market situat,negative
236,the combin compani had pro-forma net sale of mln euro mln and an oper profit of mln euro mln for,neutral
237,manag director kari inkinen say that sponda s leas oper develop high favour,positive
238,march - goldman sach estim that there are negat prospect for the norwegian mobil oper of norway s telenor asa osl tel and sweden s teliasonera ab sto tlsn in the short term,negative
239,tsla steam up again this stock is relentless at the moment,positive
240,marathon estim the valu of it remain stake in protalix at million,neutral
241,whitbread share price climb on q sale growth,positive
242,incap contract manufactur is a subsidiari of incap corpor of finland,neutral
243,oper profit total eur mn up slight from eur mn in the correspond period in,positive
244,we went to the market with yield guidanc of the area which gave us the flexibl to go up or down by -th,neutral
245,rt stockdemon think short here into close might be play spi - high beta reversinglook worth a shot,negative
246,vdw combin with lxe devic enhanc product enabl worker to use a singl devic to perform voic scan and keyboard function,positive
247,thus the method will cut work cost and will fasten the plan and build process,positive
248,talentum s net sale in septemb were smaller than expect,negative
249,copyright afx news and afx financi news logo are regist trademark of afx news limit,neutral
250,lnkd daili phase retest - price experienc earli reject can it retest,negative
251,rbs will report appoint howard davi as it next chairman,neutral
252,tesco asda sale fall as march of the discount continues-kantar,negative
253,with this new version it is veri import for us to introduc a bim process that is base on the detail build inform model,neutral
254,sampo plc jarmo salonen head of investor relat and group communic tel distribut nasdaq omx helsinki the princip media financi supervisori author this announc is distribut by thomson reuter on behalf of thomson reuter client,neutral
255,barronsonlin see appl at share in a year from today on grow servic busi aapl,positive
256,pharmaceut market in poland global research data servic publish recent a market analysi about the pharmaceut market in poland,neutral
257,altogeth finnair has cancel over flight becaus of the strike,negative
258,the employ togeth with health personnel support quit and pay part of the cost of nicotin treatment,neutral
259,pretax loss total eur mn compar to a loss of eur mn in the correspond period,neutral
260,the order includ ship crane that will be deliv for contain feeder to be built at wenchong shipyard in china,neutral
261,copper lead and nickel also drop hbos hbos plummet to penc after say this yearó,neutral
262,goog test the day after some consolid,positive
263,he join technopoli from kone where he has held various posit within the group most recent as director of servic busi and busi develop for kone s middl eastern oper,neutral
264,we succeed in increas our market share of sold apart comment mr kari kauniskanga head of yit intern construct servic,positive
265,profit ebit was compar to in the previous-year period,positive
266,finnish geosentr s net sale decreas to eur in january-march,neutral
267,the plant is schedul for complet in late februari with hand over of some area in januari two other supplier of nokia - aspocomp group oyj and perlo - have announc their plan to establish plant within the nokia complex togeth they will invest rs crore,neutral
268,- upm-kymmen upgrad to in-lin from underperform by goldman sach,positive
269,slump in weir lead ftse down from record high,negative
270,jan -- ford is struggl in the face of slow truck and suv sale and a surfeit of up-to-d gotta-hav car,neutral
271,royal mail breach competit law over deliveri servic chang ofcom claim,negative
272,the cooper will involv arena partner buy a share of the new joint ventur compani oper in alma media s home sale vehicl and consum advertis marketplac busi,neutral
273,the efor plant at saarijarvi in central finland is one of the largest employ in the region,neutral
274,howev short-term rental are becom more popular,neutral
275,emsa deputi chairman of the board juri lember told bns on wednesday that this was the first time he heard about the strike as the swedish side had not inform the estonian union yet,neutral
276,tesco close in on new chairman with dixon carphon john allan in the frame,positive
277,the devic offer multimedia perform along with a host of product applic includ live stock price,neutral
278,sale climb pct to bln eur surpass the mln eur consensus figur,positive
279,fb turn back down in earli trade,negative
280,utah s capit want to be the next us headquart of amer sport corp a ski-equip compani,neutral
281,old mutual first-quart sale up buoy by emerg market,positive
282,the dividend is payabl on februari to sharehold of record on januari,neutral
283,sale in finland decreas by in januari while sale outsid finland drop by,negative
284,furthermor bung will also sign a licens agreement for the sunnuntai and carlshamn mejeri brand,positive
285,kesko corpor stock exchang releas at kesko corpor and aspo plc today sign an agreement by which aspo acquir the share capit of kauko-telko ltd a subsidiari wholli own by kesko,positive
286,lulu outlook q lost revenu in the rang of million to million -not good,negative
287,mobil communic and wireless broadband provid nokia inc nyse nok today set new financi target and forecast for nokia and the mobil devic industri and also for nokia siemen network and the mobil and fix infrastructur and relat servic market,neutral
288,poyri plc addit inform by heikki malinen presid and ceo poyri plc tel poyri is a global expert in consult and engin,neutral
289,danish compani flsmidth has acknowledg that it has violat a patent held by finnish metso,neutral
290,amanda capit has invest in privat equiti fund and in over unquot compani main in europ,neutral
291,net interest incom was eur mn up from eur mn,positive
292,jeder beta-test erhñlt kostenlo sech monat lang updat und hat laut eigen aussag die mâglichkeit die final version zu beeinflussen,neutral
293,jp morgan expect that scala will lower nobel biocar s growth forecast for from the current guidanc of - pct as well as the oper margin target from the current - pct,neutral
294,aviva promis higher dividend to boost flag share price,positive
295,in addit mid are alway onlin and enabl full internet brows,neutral
296,fiskar has a strong portfolio of intern brand which includ fiskar iittala gerber silva and buster,positive
297,tesla model x recal add to reliabl issu tsla,negative
298,the name of the buyer was not disclos,neutral
299,net sale of the veget oil busi rose to eur mn from eur mn,positive
300,under the agreement benefon s forthcom rang of twig integr gps navig and mobil phone devic will use the joint develop web-bas track and locat technolog in both consum and commerci applic,neutral
301,follow this increas huhtamaki s regist share capit is eur m and the number of share outstand is,neutral
302,the three year turn-around program is expect to ensur salomon s futur competit the compani said,positive
303,in the autumn it plan to expand servic to st petersburg and moscow and launch servic to yekaterinburg russia fli there three time a week,positive
304,the compani s profit total ls in h down year-on-year,negative
305,the feder secretari for transport and communic of mexico has award poyri and it mexican partner sintra a consult contract in connect with the buenavista-cuautitlan suburban railway,positive
306,fda approv astrazeneca drug for advanc lung cancer,positive
307,the order is includ in metso s fourth quarter order backlog,neutral
308,lieksaar oy has earlier been regard under the control of saarelainen oy and the individu sharehold under the sharehold agreement,neutral
309,raguti which is control by the finnish breweri report a -per-cent rise in beer sale to million litr and held an -per-cent market share,positive
310,mcp roll over for a new intraday low bottom picker continu to get destroy,negative
311,the compani has an annual turnov of eur m,neutral
312,it has branch in finland with annual revenu in finland of,neutral
313,the portfolio compris of m of leasabl space with a vacanc rate of rough let to around tenant of which two of the largest are the swedish govern and ericsson,neutral
314,wpp boost sale despit cautious client,positive
315,the medium-term oper target of the compani remain unchang,neutral
316,adp news - feb - finnish retail kesko oyj hel kesbv said today it total sale exclud valu ad tax vat stood at eur million usd m in januari down year-on-yea,negative
317,consum have veri well receiv our pack fresh meat,positive
318,the correct chapter is in it entireti below,neutral
319,the major part of the deliveri includ differ ac and cxe amplifi solut and product by dinh telecom a compani acquir by telest last spring,neutral
320,tietoen itself use nokia s intellisync mobil suit s wireless email calendar and devic manag capabl and the compani will now extend these servic to it custom,positive
321,it will provid heat in the form of hot water for the sawmil s need,neutral
322,howev the net sale declin to eur million from eur billion,negative
323,in the second quarter of raut s net loss narrow to eur from eur million in the same period of,positive
324,dgi technic alert gilligan island buy setup stochast buy signal lizard bullish hammer candlestick wid,positive
325,the record date for dividend distribut is march,neutral
326,ih in a move to enhanc growth,positive
327,the ebrd is use it own fund to provid a million a loan while the b portion of million euro has been syndic to two finnish commerci bank nordea bank finland plc million euro and pohjola bank plc million euro,neutral
328,stockholm march about cybercom the cybercom group is a high-tech consult that offer global sourc for end-to-end solut,neutral
329,he said he has been lose five famili a month to the economi as mani make altern arrang to save money,negative
330,milan afx - the italian ship group grimaldi has increas it stake in the finnish compani finnlin to pct from the pct held in june accord to news agenc ansa,neutral
331,comment on the deal shane lennon svp of market product develop at gypsii said,neutral
332,extern net sale from the print busi fell by part due to the termin of the print contract between ilkka-yhtyma s print hous i-print oy and sector player hss media ab in decemb and the fall in print price,neutral
333,the group intend to reloc warehous and offic space in loudeac and saint marcel to morvillar in the east of the countri where it alreadi oper a hook manufactur and distribut unit,neutral
334,the firm is headquart in vantaa southern finland and has employe,neutral
335,at pm the omx helsinki was pct lower at and the omx helsinki was down pct at on volum of mln eur,neutral
336,we are honor to be recogn by gartner as a specialist in busi process model and analysi in the compani of mani of the largest softwar vendor in the world,positive
337,westpac bank corp - is to issu a benchmark year frn deal in euro,neutral
338,includ compani and brand share data by categori as well as distribut channel data,neutral
339,for the new share subscrib with stock option all sharehold right commenc from the date on which they are enter into the trade regist,neutral
340,aapl price momentum weaken go into the close,negative
341,through the acquisit solteq will expand it solut offer by microsoft s dynam busi softwar product,positive
342,the compani s profit total ls,neutral
343,leed is an intern recogn green build certif system develop by the us green build council,neutral
344,howev it market share shrank to per cent from per cent a year earlier,negative
345,talktalk hire bae system to investig cyber attack,negative
346,look like it book a one way ticket to it week ma near lose week here lulu,neutral
347,ftse led lower by ms glaxosmithklin,negative
348,the exercis price of the option will be base on safran softwar solut licens and mainten sale as well as the result of the compani,neutral
349,full-year oper result for was million negat,negative
350,the compani said product volum so far indic the circuit is capabl of the target output rate of tonn per day or million tonn a year,neutral
351,jun boy genius report deliv by newstex -- the nokia nyse nok n huh,neutral
352,we have come out with a decis which is base on our preliminari econom oper and environment find karvinen said,neutral
353,the new major owner of aspocomp thailand co ltd are certain privat person belong to immedi circl of aspocomp s present joint ventur partner saha pathana inter-hold plc,neutral
354,some mln euro mln of the base acquisit price will be paid in cash and the rest through a subscript offer of a total of new ixono share,neutral
355,establish in the srv group is a privat finnish construct concern with oper in finland the baltic countri and russia,neutral
356,the busi section also includ ahlstrom s sustain report,neutral
357,£lemist citi is the environ for a knowledge-bas economi provid work for peopl with the total turnov of it compani amount to eek bn said £lo pñrnit chairman of the supervisori board of £lemist citi and mainor,neutral
358,jacob has been support storengi s invest of develop storag site sinc as owner s engin,neutral
359,the compani had earlier said that it was consid differ strateg option for the struggl low-cost mobil oper includ a divest of it hold,neutral
360,sainsburi asda tesco and morrison will all cut petrol price as oil fall,negative
361,barclay sell benchmark indic unit to bloomberg,positive
362,oper profit in the fourth quarter fell to eurm from eurm a year earlier,neutral
363,finnish forestri compani upm-kymmen and wast manag compani lassila tikanoja said on jan they were plan to produc ethanol and energi from commerci and industri wast,neutral
364,ism doe not disclos it financi result the daili said,neutral
365,the contract cover the manufactur surface-treat and instal of the steel structur,neutral
366,finnish metal industri solut supplier outotec oyj net profit rose to mln euro mln for the first nine month of from mln euro mln for the same period of,positive
367,under the deal know it will pay sekm usd m-eur m in cash and stock,neutral
368,for the first nine month of the compani s net profit rose to eurm from eurm for the correspond period of,positive
369,aapl dma turn up macd crossov a half-a-hair away on the week eod break out like,positive
370,protalix has million in cash and no sale,neutral
