,Sentence,Sentiment
32,We are pleased to welcome Tapeks Noma into Cramo group,positive
33,- Profit before taxes was EUR million,neutral
34,Royal Dutch Shell to Buy BG Group for Nearly Billion,positive
35,FinancialWire tm is not a press release service and receives no compensation for its news opinions or distributions,neutral
36,ASSA ABLOY Kaupthing Bank gave a neutral recommendation and a share price target of crowns - euro on Swedish lock maker Assa Abloy AB,neutral
37,The item included restructuring costs of EUR m while a year earlier they were EUR m Diluted EPS stood at EUR versus a loss per share of EUR,positive
38,In the bank posted a net profit of Lt mn,neutral
39,AAPL afternoon selloff as usual will be brutal get ready to lose a ton of money,negative
40,TSLA recalling pretty much every single model X cnnbrk got to short that even at work you jump in money trade,negative
41,Dolce Gabbana has asked the European Union to declare Marimekko Corporation s Unikko floral pattern trademark invalid in a continuing dispute between the two companies,negative
42,InterContinental Hotels first-quarter global room revenue lags estimates,negative
43,According to Finnish pension insurance company Varma Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland,positive
44,A portion million will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj,positive
45,LG still paying price for dividend cut during crisis chief says,negative
46,The volume of investments in the two phases of the project is estimated at USD mn EUR mn,neutral
47,Russia accounted for of the Lagardere magazine division s revenue or EUR mn USD mn in the USA - for,neutral
48,The company also estimates the already carried out investments to lead to an increase in its net sales for from when they reached EUR million,positive
49,Profit of the accounting period was EUR mn,neutral
50,The six breweries recorded a percent growth in domestic beer sales last year to million liters from million liters sold in,positive
51,In August-October the company s result before taxes totalled EUR mn up from EUR mn in the corresponding period in,positive
52,Systeemitiimi s sales and project resources will also be strengthened director Paul Skogberg said,positive
53,Tesco share price jumps as Q sales top estimates,positive
54,The fine print is here,neutral
55,The price for logs has clearly improved from and also the price of pulpwood has gone up,positive
56,Thus SysOpen Digia has in accordance with Chapter Section of the Finnish Companies Act - obtained title to all the shares of Sentera that are to be redeemed,neutral
57,Diluted earnings per share EPS fell to EUR from EUR,neutral
58,At pm Eastern time a block of contracts changed hands at a bid price of,neutral
59,Some of the most recent technology deliveries include refinery technology to Anrak Aluminium an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel,neutral
60,VIPS similar pattern like beginning of May Did u sell Same nowwill go up much higher after this drop,positive
61,The firm generated sales of mln eur in,neutral
62,Stora Enso has also had meetings with the labor authorities Employment and Economic Development Centres and representatives of the government in order to find solutions,neutral
63,AstraZeneca profit down as sales of stalwarts fade,negative
64,RT andrewnyquist Chartology Yahoo YHOO Crazy looking chart but nearing breakout resistance line,positive
65,Most bullish stocks on Twitter during this dip YHOO GDX GOOGL STZ GOLD EW VZ CELG SBUX SCTY more,positive
66,Finnish GeoSentric s net sales decreased to EUR in January-March,negative
67,Cohen Steers Inc shares representing of the share capital and voting rights,neutral
68,More staff has been recruited in Japan to further complement its network of close to service locations in more than countries worldwide,positive
69,Paper companies were in negative territories with Stora Enso R shedding pct to eur UPM-Kymmene down pct at eur and M-real B pct lower at eur,neutral
70,Kauko-Telko s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year,neutral
71,Operating profit for the quarter April-June amounted to EUR m on sales of EUR bn,neutral
72,Atria chose the DeLight to attract consumers in the - age group to its Atria Fresh range of microwaveable meals,neutral
73,Finnish IT solutions provider Affecto Oyj HEL AFEV said today its slipped to a net loss of EUR USD in the second quarter of from a profit of EUR in the corresponding period a year earlier,neutral
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,negative
75,Profit for the period was EUR mn down from EUR mn in,neutral
76,Profit for the period was EUR mn up from EUR mn,positive
77,Operating profit fell to EUR mn from EUR mn in the second quarter of,neutral
78,However sales returned to growth in April-June CEO Pekka Eloholma said,positive
79,Operating profit totaled EUR mn or of net sales,neutral
80,Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant according to the company,negative
81,In connection with the deal Digia will employ persons from Nokia in Oslo and in Silicon Valley in the USA,neutral
82,The Brazilian unit of Finnish security solutions provider F-Secure signed up new clients last year online news source Reseller Web quoted the division s commercial director Vladimir Brandúo as saying,positive
83,The fair value of the company s investment properties went down to EUR billion at the end of from EUR billion a year earlier,neutral
84,Dealers said the share was largely hit by investor disappointment about a refining margin of just usd per barrel for the quarter and the performance of its shipping unit which saw EBIT drop to mln eur from mln eur a year amid a fall in volumes and tanker rates,negative
85,It is a testament to the quality of our LTE solution and our commitment to the Japanese market he added,neutral
86,The companies aim is to finalize the negotiations and sign the contracts at the start of October,neutral
87,Metso Foundries Jyvaskyla Oy will discontinue production on this line by September the company said,neutral
88,A total six of the polled analysts rated M-real -- two gave buy - accumulate three gave hold and only one gave sell,neutral
89,In September the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR m in a combination of cash and stock,positive
90,YANG Double bottom,positive
91,Tesco share price down as grocer faces SFO investigation outcome,negative
92,aapl news is becoming very bullish again,positive
93,GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais UAE,neutral
94,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them,neutral
95,M-Real said there are no grounds for the rumors which have been circulating in the market for some months,neutral
96,Lember said the matter was topical also in Estonia where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions,neutral
97,- Moody s said it gave P A long-term senior unsecured and P P- short-term debt ratings to Finnish lender Aktia Bank s EURbn USD bn euro medium-term note EMTN program of March,neutral
98,TSLA recall,negative
99,The liquidity providing was interrupted on May when Aspocomp Group Oyj s shares traded below cent Aspocomp s stock exchange release,neutral
100,Hargreaves Lansdown bucks weak markets to see assets rise percent,positive
101,At pm the OMX Helsinki index was pct lower at,negative
102,The decision means temporary lay-offs of fixed duration at the company s Nastola and Jyvaskyla units in southern and central Finland respectively,neutral
103,The value of the orders is over EUR mn,neutral
104,Ms Laakso will be responsible for HKScan s HR functions and for their development in all of the Group smarket areas,neutral
105,Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company Wartsila Corporation,neutral
106,Aberdeen Asset Management Gains Foothold In China,positive
107,Finland s dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage,neutral
108,In November the Finnish government decreased its ownership in the company further to percent from percent,neutral
109,Finnish Exel Composites a technology company that designs manufactures and markets composite profiles and tubes for various industrial applications reports its net sales decreased by in the second quarter of to EUR mn from EUR mn in the corresponding period in,neutral
110,Of Bavelloni s and NST s joint ventures Bavelloni Tools completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand,neutral
111,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind,neutral
112,GOOGL is a short below into the upper BB and is overbought,negative
113,LIGHTS OUT Before curfew curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan,neutral
114,UPM-Kymmene Corp the world s largest maker of magazine paper on Tuesday reported a -percent profit drop as lower paper prices higher costs and a strong euro hurt revenue,negative
115,The total value of the contract is some EUR million,neutral
116,The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance in the maximum,neutral
117,Mr Doring has been with Eaton since and acted as the Business Unit Manager for Eaton s Power Controls Business Unit since January,neutral
118,The sq m sq ft store in Copenhagen s premier shopping district was inaugurated today further strengthening the company s presence in Nordic capitals,positive
119,In the financial statement for the first quarter of Tikkurila is reported under discontinued operations,neutral
120,The world s second largest stainless steel maker said net profit in the three-month period until Dec surged to euro million US million or euro US per share from euro million or euro per share the previous year,positive
121,Name of Applicant Jot Automation OYName of Inventor Mammila Tuomo Piirainen Mika and Kellokoski MikaApplication No -KOLNP- ADate of filing of Application --Publication Date,neutral
122,Netflix Grows Efforts To Create Loyal Customers NFLX,positive
123,The OMX Nordic OMXN index comprising the most traded Nordic stocks on the Nasdaq OMX exchange closed down at points on Thursday,negative
124,AAPL nibbling on a small long via buying off min charts,positive
125,The operating margin of Aker Yards Cruise Ferries division went down from to in the first quarter of,negative
126,TYC just about to break out to new highs lots of technicals looking great right now,positive
127,Eero Katajavuori currently Group Vice President Human Resources will take a year-long sabbatical starting from October,neutral
128,Whats up with LULU Numbers looked good not great but good I think conference call will instill confidence,neutral
129,The adjustment measures will be carried out in phases to secure the delivery capability,neutral
130,Alma Media Corporation Press Release March TYRVAAN SANOMAT AND PAIKALLISSANOMAT BEING BOUGHT BY SUOMEN PAIKALLISSANOMAT Two local papers Tyrvaan Sanomat and Paikallissanomat appearing in Sastamala and its neighbouring municipalities are to be bought by Suomen Paikallissanomat Oy,neutral
131,Temporary lay-offs affecting the entire workforce will also be implemented,negative
132,A meeting for the media and analysts will be held on the same day at am at Stonesoft Headquarters in Helsinki Italahdenkatu A The Interim report will be presented by Stonesoft s CEO Ilkka Hiidenheimo,neutral
133,Finnish Sampo-Rosenlew manufactures approximately seven forest machines monthly and about half of machines are exported,neutral
134,Facebook near a buy point last week faces a different technical test today FB AAPL NFLX,positive
135,February - Finnish broadband data communication systems provider Teleste Oyj HEL TLTV said Wednesday its net profit rocketed to EUR m in from EUR in and it lifted its dividend proposal,positive
136,FREE Ha Heeeeeere comes the pump! So glad I picked up K end of day! Get ready for the bull ride!,positive
137,Finnish technology group Aspocomp Group Oyj OMX Helsinki ACGV issued its third quarter report on Thursday November posting an operating profit of EUR m as compared to a loss of EUR m in the third quarter of,positive
138,The building complex consists of high-quality office and retail space totalling square metres the company said,neutral
139,Finnish insurance company Fennia and Kesko Group are ending their loyal customer cooperation,neutral
140,The unit is planned to be operational during the second half of and in full stream in,neutral
141,ITG s share in the deal is estimated at some euro,neutral
142,The plant is expected to enter commercial operation by mid-,neutral
143,Aspo has also investigated the sales opportunities of Kaukomarkkinat s electronics business,neutral
144,BG Group appoints new CEO one month early,neutral
145,The acquisition will have an immediate positive impact on Aspocomp s financial result,positive
146,Finnair s passenger load factor which measures the number of sold seats as a share of all available seats dropped by percentage points to in September,negative
147,RT bman LNG looks primed also EGHT poised to run too,positive
148,It is also pct above the -month volume weighted average price of the stock,positive
149,Coke dividend - Google dividend - For passive income Coke takes it GOOG KO,neutral
150,Profit before taxes was EUR mn up from EUR mn a year earlier,positive
151,The subsidiary is setting up a facility for manufacturing high-density interconnection printed circuit boards or PCBs at Nokia s special economic zone at Sriperumbudur near Chennai,neutral
152,CRM Sep calls are since entry BANG,positive
153,In January-June diluted loss per share stood at EUR versus EUR in the first half of,negative
154,Rapala said it estimates it will make savings of - mln eur a year by centralising its French operations at one site,positive
155,VMW Got a nice push today following small sweepers of May C this morning,positive
156,That topped consensus forecasts for earnings of euros a share,positive
157,RD Loan,neutral
158,In future the company intends to look for know-how from outside the company and to cooperate with other actors in the sector,positive
159,You need to be ready when the window opens up Rosberg said,neutral
160,More than tonnes of asphalt mix will be used in the contract,neutral
161,PA JPMorgan Chase and Co NYSE JPM and Pohjoa Bank are joint lead-managers on the senior unsecured deal,neutral
162,CTRP breaking out here on good vol and a parser buy signal noticed this on bob langs comments looking for fast,positive
163,Sales in Finland decreased by in January while sales outside Finland dropped by,neutral
164,The pulp production in Finnish Kemijñrvi will also be liquidated and about employees loose their jobs,negative
165,Nordea was the cheapest also for a couple in their s with debt,neutral
166,Jussi Pesonen member of the Sampo Board since will renounce his seat in Sampo Board,neutral
167,Tesla is recalling Model X cars TSLA,negative
168,Adjusted for changes in the Group structure the Division s net sales increased by,positive
169,Making matters more difficult the company said it has been grappling with higher oil and gas prices which have pushed up the cost of energy raw materials and transportation,neutral
170,The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company,positive
171,The solution will now be expanded to include all ground staff tasks,neutral
172,Operating loss totalled EUR mn compared to a profit of EUR mn in the third quarter of,negative
173,On FEDDAY looking for a sharp move up in equities AAPL HD LOW FB seeing UVXY TVIX getting hammered even though market is down,positive
174,Net sales totaled EUR mn up from EUR mn in the corresponding period in,positive
175,As a consequence the Works Council had withdrawn its petition to suspend the reorganisation,neutral
176,CEO Erkki Jñrvinen is happy with the company s performance in,positive
177,Comparable net sales are expected to increase more than in in line with group target,positive
178,Following the transaction Lundbeck has worldwide rights for nalmefene excluding North America Mexico Turkey and South-Korea,positive
179,The government started the sell-off last month putting an percent stake in TeliaSonera on the auction bloc,neutral
180,The report goes on to provide detailed profiles of ten leading European specialty chemicals companies and brief profiles of other major players,neutral
181,Both operating profit and net sales for the three-month period increased respectively from EUR m and EURm as compared to the corresponding quarter in,positive
182,The company expects its net sales for the whole to be at previous year levels,neutral
183,The company is headquartered in Sievi Finland and is listed on the Nordic Exchange in Helsinki,neutral
184,Commission income increased by to EUR mn and lending volume rose by,positive
185,The Finnish company sold its UK operation - consisting of staff in offices in London Birmingham and Manchester - as part of a deal with Hampden in July for its European-wide property and casualty arm Sampo Industrial,neutral
186,In the building and home improvement trade sales decreased by to EUR mn,negative
187,The Innova building will be located close to downtown in the immediate vicinity of Paviljonki and the travel center and within walking distance from the heart of the city thanks to the trade fair bridge,neutral
188,Finnish textiles and clothing group Marimekko Oyj posted a net profit of mln euro mln for compared to mln euro mln for,neutral
189,The main strength of the cooperation project lies in merging the know-how of two large companies,positive
190,Shareholders have a right to put on the agenda of the AGM items that are within the competence of the general meeting,neutral
191,Kazgiprotsvetmet and Outotec Finland have signed an agreement on strategic cooperation in the marketing and providing of minerals processing and metallurgical plants and related services in Kazakhstan and the surrounding countries,positive
192,Due to the rapid decrease in net sales personnel reductions have been carried out on a wider scale than initially expected,neutral
193,The government has instead proposed an exchange of the state s stake in LMT to TeliaSonera s stake in Lattelecom,neutral
194,Stora is due to release its fourth-quarter and full-year earnings on Feb,neutral
195,Full-year operating result for was million negative,neutral
196,NQ got hit hard lower this AM -- looks like it has found support a,negative
197,In AVC Systemhaus had net sales of EUR million USD m,neutral
198,The company has established a G base station at about feet at the foot of Mount Everest that will enable mountain climbers at the -foot summit to surf the Internet and even send videos of their exploits,positive
199,We offer our customers solutions based on renewable raw materials,neutral
200,A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members,neutral
201,Antti Orkola president of Kemira GrowHow s Industrial Solutions unit told Thomson Financial News the company has put off opening the mine as prices of phosphate have been quite depressed for a long time,neutral
202,The pretax profit of the group s life insurance business increased to EURm from EURm,positive
203,We make available the following brand-new market analyses Cement - Pakistan Cement - Malaysia Cement - Taiwan Cement - Philippines These analyses give a clear overview of the actual situation and future outlook of the cement industry in some Asian countries,neutral
204,The Company serves approximately customers in over countries,neutral
205,RT alphatrends VMarkets Are Still Acting Weak SPY QQQ XLF SMH IWM,negative
206,Operating profit totalled EUR mn down from EUR mn a year earlier,neutral
207,One of the installed elevators will be a double-deck elevator which enables more efficient use of the building s core space,positive
208,HELSINKI AFX - Outokumpu said it has agreed to sell the Hitura nickel mine in Finland to Canadian group Belvedere Resources Ltd for mln eur worth of Belvedere shares,neutral
209,Just went long ILMN,positive
210,Social networking and location-based service trends comprise a significant share of the Internet traffic today and are appealing to MID users,neutral
211,A total of the order value was booked in the fourth quarter of and the remainder will be booked in the second quarter of,neutral
212,Johnson Matthey share price slumps as company posts full-year results,negative
213,There have not been previous share subscriptions with stock options,neutral
214,AffectoGenimap builds highly customised IT solutions for its customers in Finland and the Baltic countries,neutral
215,The closing of the transaction is scheduled to take place on January,neutral
216,However the offering will probably not be made at the current valuation which partly derives from the deal in which the company was merged into a stock market shell,neutral
217,Operating result for the -month period decreased from the profit of EUR m while turnover decreased from EUR m as compared to,neutral
218,The administrators have indicated a need for job cuts at the Irish insurer over the next months,neutral
219,Net sales in are expected to be on the same level as in,neutral
220,Technical indicators for the stock are bullish and SP gives NOK a positive STARS out of buy ranking,positive
221,Revenue for the quarter totaled billion down percent from billion in the fourth quarter in,negative
222,N-Viro operates processing facilities independently as well as in partnership with municipalities,neutral
223,The number of bodily injury cases quadrupled in -,negative
224,According to Ringman Finnish paper companies have acquired know-how and capacity in paper recycling which has turned out to be a successful strategy,positive
225,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant,positive
226,And US energy executives say high steel prices are threatening energy exploration,negative
227,Tesco sales rise shows tentative recovery continues,positive
228,In Finland the launch of tie-in sales of G mobile phones did not cause a dramatic rush in mobile retail outlets during the first few days,neutral
229,NUAN held up well after the big gains! Maybe were finally on the move on this!!its still very undervalued and has major upside,positive
230,The company can be split into two parts over the coming months with Essent owning and operating production and supply and Enexis owning and operating the grid,neutral
231,Officials did not disclose the contract value,neutral
232,London s leading shares today jumped almost points or as the market opened,positive
233,In the third quarter of fiscal Efore swung to a net loss of EUR versus a net profit of EUR for the corresponding period of fiscal,neutral
234,The group s operating loss was EUR mn down from a profit of EUR mn in,neutral
235,The move was triggered by weak demand for forestry equipment and the uncertain market situation,negative
236,The combined company had pro-forma net sales of mln euro mln and an operating profit of mln euro mln for,neutral
237,Managing Director Kari Inkinen says that Sponda s leasing operations developed highly favourably,positive
238,March - Goldman Sachs estimates that there are negative prospects for the Norwegian mobile operations of Norway s Telenor ASA OSL TEL and Sweden s TeliaSonera AB STO TLSN in the short term,negative
239,TSLA steaming up again this stock is relentless at the moment,positive
240,Marathon estimates the value of its remaining stake in Protalix at million,neutral
241,Whitbread share price climbs on Q sales growth,positive
242,Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland,neutral
243,Operating profit totaled EUR mn up slightly from EUR mn in the corresponding period in,positive
244,We went to the market with yield guidance of the area which gave us the flexibility to go up or down by -th,neutral
245,RT stockdemons think shorting here into close might be play SPY - high beta reversinglooks worth a shot,negative
246,VDW combined with LXE devices enhances productivity enabling workers to use a single device to perform voice scanning and keyboard functions,positive
247,Thus the method will cut working costs and will fasten the planning and building processes,positive
248,Talentum s net sales in September were smaller than expected,negative
249,COPYRIGHT AFX News and AFX Financial News Logo are registered trademarks of AFX News Limited,neutral
250,LNKD Daily Phase retest - Price experiencing early rejection Can it retest,negative
251,RBS will reportedly appoint Howard Davies as its next chairman,neutral
252,Tesco Asda sales fall as march of the discounters continues-Kantar,negative
253,With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model,neutral
254,SAMPO PLC Jarmo Salonen Head of Investor Relations and Group Communications tel Distribution NASDAQ OMX Helsinki The principal media Financial Supervisory Authority This announcement is distributed by Thomson Reuters on behalf of Thomson Reuters clients,neutral
255,barronsonline sees Apple at share in a year from today on growing services business AAPL,positive
256,Pharmaceutical market in Poland Global Research Data Services published recently a market analysis about the pharmaceutical markets in Poland,neutral
257,Altogether Finnair has canceled over flights because of the strike,negative
258,The employer together with health personnel supports quitting and pays part of the cost of nicotine treatments,neutral
259,Pretax loss totaled EUR mn compared to a loss of EUR mn in the corresponding period,neutral
260,The order includes ship cranes that will be delivered for container feeders to be built at Wenchong shipyard in China,neutral
261,Copper lead and nickel also dropped HBOS HBOS plummeted to pence after saying this yearó,neutral
262,GOOG Testing the day after some consolidation,positive
263,He joins Technopolis from KONE where he has held various positions within the Group most recently as Director of Service Business and Business Development for KONE s Middle Eastern operations,neutral
264,We succeeded in increasing our market share of sold apartment comments Mr Kari Kauniskangas Head of YIT International Construction Services,positive
265,Profitability EBIT was compared to in the previous-year period,positive
266,Finnish GeoSentric s net sales decreased to EUR in January-March,neutral
267,The plant is scheduled for completion in late February with hand over of some areas in January Two other suppliers of Nokia - Aspocomp Group Oyj and Perlos - have announced their plans to establish plants within the Nokia complex Together they will invest Rs crore,neutral
268,- UPM-Kymmene upgraded to in-line from underperform by Goldman Sachs,positive
269,Slump in Weir leads FTSE down from record high,negative
270,Jan -- Ford is struggling in the face of slowing truck and SUV sales and a surfeit of up-to-date gotta-have cars,neutral
271,Royal Mail breached competition law over delivery service changes Ofcom claims,negative
272,The cooperation will involve Arena Partners buying a share of the new joint venture company operating in Alma Media s home sales vehicle and consumer advertising marketplace businesses,neutral
273,The Efore plant at Saarijarvi in central Finland is one of the largest employers in the region,neutral
274,However short-term rentals are becoming more popular,neutral
275,EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet,neutral
276,Tesco closes in on new chairman with Dixons Carphones John Allan in the frame,positive
277,The device offers multimedia performance along with a host of productivity applications including live stock prices,neutral
278,Sales climbed pct to bln eur surpassing the mln eur consensus figure,positive
279,FB turns back down in early trading,negative
280,Utah s capital wanted to be the next US headquarters of Amer Sports Corp a ski-equipment company,neutral
281,Old Mutual First-Quarter Sales Up Buoyed by Emerging Markets,positive
282,The dividend is payable on February to shareholders of record on January,neutral
283,Sales in Finland decreased by in January while sales outside Finland dropped by,negative
284,Furthermore Bunge will also sign a licensing agreement for the Sunnuntai and Carlshamn Mejeri brands,positive
285,KESKO CORPORATION STOCK EXCHANGE RELEASE AT Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd a subsidiary wholly owned by Kesko,positive
286,LULU Outlook Q lost revenue in the range of million to million -not good,negative
287,Mobile communication and wireless broadband provider Nokia Inc NYSE NOK today set new financial targets and forecasts for Nokia and the mobile device industry and also for Nokia Siemens Networks and the mobile and fixed infrastructure and related services market,neutral
288,POYRY PLC Additional information by Heikki Malinen President and CEO Poyry PLC tel Poyry is a global expert in consulting and engineering,neutral
289,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso,neutral
290,Amanda Capital has investments in private equity funds and in over unquoted companies mainly in Europe,neutral
291,Net interest income was EUR mn up from EUR mn,positive
292,Jeder Beta-Tester erhñlt kostenlos sechs Monate lang Updates und hat laut eigener Aussage die MÂglichkeit die finale Version zu beeinflussen,neutral
293,JP Morgan expects that Scala will lower Nobel Biocare s growth forecast for from the current guidance of - pct as well as the operating margin target from the current - pct,neutral
294,Aviva promises higher dividends to boost flagging share price,positive
295,In addition MIDs are always online and enable full Internet browsing,neutral
296,Fiskars has a strong portfolio of international brands which include Fiskars Iittala Gerber Silva and Buster,positive
297,Tesla Model X Recall Adds To Reliability Issues TSLA,negative
298,The name of the buyer was not disclosed,neutral
299,Net sales of the Vegetable Oil Business rose to EUR mn from EUR mn,positive
300,Under the agreement Benefon s forthcoming range of TWIG integrated GPS navigation and mobile phone devices will use the jointly developed web-based tracking and location technology in both consumer and commercial applications,neutral
301,Following this increase Huhtamaki s registered share capital is EUR m and the number of shares outstanding is,neutral
302,The three year turn-around program is expected to ensure Salomon s future competitiveness the company said,positive
303,In the autumn it plans to expand service to St Petersburg and Moscow and launch service to Yekaterinburg Russia flying there three times a week,positive
304,The company s profit totaled Ls in H down year-on-year,negative
305,The Federal Secretary for Transport and Communication of Mexico has awarded Poyry and its Mexican partner Sintra a consulting contract in connection with the Buenavista-Cuautitlan suburban railway,positive
306,FDA approves AstraZeneca drug for advanced lung cancer,positive
307,The order is included in Metso s fourth quarter order backlog,neutral
308,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement,neutral
309,Ragutis which is controlled by the Finnish brewery reported a -per-cent rise in beer sales to million litres and held an -per-cent market share,positive
310,mcp rolling over for a new intraday low Bottom Pickers continue to get destroyed,negative
311,The company has an annual turnover of EUR m,neutral
312,It has branches in Finland with annual revenue in Finland of,neutral
313,The portfolio comprises of m of leasable space with a vacancy rate of roughly let to around tenants of which two of the largest are the Swedish government and Ericsson,neutral
314,WPP boosts sales despite cautious clients,positive
315,The medium-term operative targets of the company remain unchanged,neutral
316,ADP News - Feb - Finnish retailer Kesko Oyj HEL KESBV said today its total sales excluding value added tax VAT stood at EUR million USD m in January down year-on-yea,negative
317,Consumers have very well received our packed fresh meat,positive
318,The corrected chapter is in its entirety below,neutral
319,The major part of the deliveries include different AC and CXE amplifier solutions and products by DINH Telecom a company acquired by Teleste last spring,neutral
320,TietoEnator itself uses Nokia s Intellisync Mobile Suite s wireless email calendar and device management capabilities and the company will now extend these services to its customers,positive
321,It will provide heating in the form of hot water for the sawmill s needs,neutral
322,However the net sales declined to EUR million from EUR billion,negative
323,In the second quarter of Raute s net loss narrowed to EUR from EUR million in the same period of,positive
324,DGI technical alerts Gilligans Island Buy Setup Stochastic Buy Signal Lizard Bullish Hammer Candlestick Wid,positive
325,The record date for dividend distribution is March,neutral
326,IH in a move to enhance growth,positive
327,The EBRD is using its own funds to provide a million A loan while the B portion of million Euros has been syndicated to two Finnish commercial banks Nordea Bank Finland Plc million Euros and Pohjola Bank Plc million Euros,neutral
328,Stockholm March About Cybercom The Cybercom Group is a high-tech consultancy that offers global sourcing for end-to-end solutions,neutral
329,He said he has been losing five families a month to the economy as many make alternative arrangements to save money,negative
330,MILAN AFX - The Italian shipping group Grimaldi has increased its stake in the Finnish company Finnlines to pct from the pct held in June according to news agency ANSA,neutral
331,Commenting on the deal Shane Lennon SVP of Marketing Product Development at GyPSii said,neutral
332,External net sales from the printing business fell by partly due to the termination of the printing contract between Ilkka-Yhtyma s printing house I-print Oy and sector player HSS Media AB in December and the fall in printing prices,neutral
